Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
434156,428669,2,2015-08-14,12:21:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Passenger,Slight,Female,18
434156,428669,2,2015-08-14,12:21:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Female,44
428549,431412,2,2015-08-14,17:05:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Female,34
426861,433797,1,2015-08-15,02:41:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,26
426089,431603,2,2015-08-15,21:30:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,36
430003,438579,2,2015-08-15,15:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,58
421596,439398,1,2015-08-15,18:25:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Serious,Male,18
422826,432541,1,2015-08-16,19:12:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,27
427784,430722,3,2015-08-16,17:15:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,23
427784,430722,3,2015-08-16,17:15:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Serious,Female,64
428983,439125,2,2015-08-16,10:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,21
420343,436252,1,2015-08-16,16:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,78
428983,439125,2,2015-08-16,10:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,26
441686,448925,1,2015-08-16,09:55:00,B,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Female,61
420343,436252,1,2015-08-16,16:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,43
432115,427471,3,2015-08-17,18:54:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,51
432115,427471,3,2015-08-17,18:54:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,58
419771,441329,2,2015-08-17,16:28:00,A,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Male,68
419771,441329,2,2015-08-17,16:28:00,A,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,40
432115,427471,3,2015-08-17,18:54:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,47
428808,432670,2,2015-08-17,13:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,28
436819,443884,2,2015-08-17,12:38:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Male,31
426283,435588,2,2015-08-17,09:34:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,32
425152,437563,1,2015-08-17,08:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,10
430233,435116,2,2015-08-17,16:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,48
425886,429886,2,2015-08-18,18:35:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,29
431952,435864,1,2015-08-18,18:15:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Serious,Female,65
427906,432216,2,2015-08-18,17:25:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Serious,Male,49
429615,429894,2,2015-08-18,17:05:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle,Driver,Slight,Male,17
425886,429886,2,2015-08-18,18:35:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Fatal,Male,41
421995,433957,3,2015-08-18,12:00:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Goods vehicle,Passenger,Serious,Male,37
431884,435694,2,2015-08-18,11:57:00,A,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,50
436981,433592,≥4,2015-08-18,11:50:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Female,68
436981,433592,≥4,2015-08-18,11:50:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Female,35
436981,433592,≥4,2015-08-18,11:50:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Male,50
421995,433957,3,2015-08-18,12:00:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Goods vehicle,Driver,Slight,Male,26
425939,438113,2,2015-08-19,20:55:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Female,23
425939,438113,2,2015-08-19,20:55:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,40
431371,429676,2,2015-08-19,13:43:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,7
426727,431737,2,2015-08-19,09:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,60
426727,431737,2,2015-08-19,09:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,24
443279,439542,2,2015-08-19,00:01:00,A(M),Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,22
443279,439542,2,2015-08-19,00:01:00,A(M),Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,33
430465,431602,1,2015-08-19,13:25:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,25
443200,439744,1,2015-08-20,06:59:00,A(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Serious,Male,39
443200,439744,1,2015-08-20,06:59:00,A(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Serious,Female,38
421113,434889,1,2015-08-20,18:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,9
420308,445750,2,2015-08-20,07:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,26
430692,434525,2,2015-08-20,17:12:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,23
436895,432971,2,2015-08-20,08:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,36
430842,434106,2,2015-08-20,17:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Male,57
420816,434408,2,2015-08-21,14:45:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,78
426283,435578,2,2015-08-21,17:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,65
426283,435578,2,2015-08-21,17:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,39
431912,434798,2,2015-08-21,21:36:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Bus,Passenger,Slight,Male,31
434273,428314,1,2015-08-22,21:00:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Serious,Male,45
440519,429004,1,2015-08-22,18:25:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Serious,Female,19
430493,426488,≥4,2015-08-22,17:55:00,Motorway,Flood (3cm deep),Daylight: Street lights present,Raining without high winds,Car,Passenger,Slight,Female,58
428006,435553,2,2015-08-22,16:40:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Female,44
430835,435505,3,2015-08-22,08:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,39
432043,434943,2,2015-08-22,02:13:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,47
432043,434943,2,2015-08-22,02:13:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,42
429414,433778,2,2015-08-22,15:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,42
440779,433654,1,2015-08-22,09:30:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,35
437014,438948,1,2015-08-23,17:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,21
431933,427841,1,2015-08-23,18:54:00,Motorway,Flood (3cm deep),Daylight: Street lights present,Raining without high winds,Car,Passenger,Slight,Male,22
431933,427841,1,2015-08-23,18:54:00,Motorway,Flood (3cm deep),Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Male,24
431933,427841,1,2015-08-23,18:54:00,Motorway,Flood (3cm deep),Daylight: Street lights present,Raining without high winds,Car,Passenger,Slight,Female,38
426065,435591,2,2015-08-23,11:29:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,33
431953,427842,2,2015-08-23,10:00:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,46
431953,427842,2,2015-08-23,10:00:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,50
426065,435591,2,2015-08-23,11:29:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Passenger,Slight,Female,33
424791,434815,2,2015-08-24,11:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Serious,Male,20
432661,436921,1,2015-08-24,00:55:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,17
432661,436921,1,2015-08-24,00:55:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,15
425800,435682,2,2015-08-24,08:23:00,B,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,24
430801,435344,2,2015-08-24,08:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Male,28
443241,428077,2,2015-08-24,17:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,65
432889,435852,2,2015-08-24,17:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,12
428531,437059,1,2015-08-24,19:24:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,9
427259,433586,2,2015-08-24,14:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,26
430360,433457,2,2015-08-25,21:20:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,4
430360,433457,2,2015-08-25,21:20:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,23
430747,439249,2,2015-08-25,08:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Serious,Male,40
432052,439745,2,2015-08-25,08:14:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,41
423042,443001,1,2015-08-25,13:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,78
418968,446441,2,2015-08-25,12:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,50
430922,433485,1,2015-08-25,11:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,21
422543,429121,2,2015-08-25,07:15:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,23
426143,437279,2,2015-08-25,17:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,24
431749,435501,2,2015-08-26,08:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,26
431246,445733,2,2015-08-26,07:30:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Male,33
427569,436873,2,2015-08-26,15:29:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,29
432532,443146,2,2015-08-27,19:22:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,65
428690,434948,2,2015-08-27,18:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,20
418669,441467,1,2015-08-27,13:45:00,B,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,18
428097,434512,2,2015-08-28,08:26:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,47
433650,435307,2,2015-08-28,21:15:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Serious,Male,29
425105,434211,2,2015-08-28,19:49:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,23
434686,433571,2,2015-08-28,18:25:00,B,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Passenger,Slight,Female,40
434686,433571,2,2015-08-28,18:25:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,18
425498,428680,1,2015-08-28,23:01:00,Motorway,Dry,Darkness: Street lights present and lit,Fine without high winds,Goods vehicle,Driver,Slight,Female,33
430273,431943,3,2015-08-28,16:18:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,45
430273,431943,3,2015-08-28,16:18:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,31
427832,435806,2,2015-08-28,08:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,40
427832,435806,2,2015-08-28,08:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,34
428097,434512,2,2015-08-28,08:26:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,26
431555,435193,2,2015-08-28,17:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,33
429080,433631,1,2015-08-29,23:40:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,21
429080,433631,1,2015-08-29,23:40:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,20
429080,433631,1,2015-08-29,23:40:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,21
442464,447890,2,2015-08-29,19:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Male,71
436184,434391,2,2015-08-29,10:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,81
436184,434391,2,2015-08-29,10:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,62
436184,434391,2,2015-08-29,10:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,28
429008,433567,2,2015-08-30,18:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,57
429008,433567,2,2015-08-30,18:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,29
429008,433567,2,2015-08-30,18:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,49
429152,429305,1,2015-08-30,17:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Pedestrian,Serious,Male,10
426219,427803,1,2015-08-30,12:33:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,30
434438,434385,2,2015-08-30,14:15:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,10
434438,434385,2,2015-08-30,14:15:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,31
420308,434268,2,2015-08-30,13:28:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,57
429152,429305,1,2015-08-30,17:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Serious,Male,36
424870,437363,≥4,2015-08-31,13:31:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,24
427529,426263,2,2015-09-01,06:15:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Fatal,Male,44
425627,434251,1,2015-09-01,09:13:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,35
428160,430064,2,2015-09-01,17:57:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,18
428750,437049,1,2015-09-01,19:24:00,B,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,68
432581,434909,2,2015-09-01,20:33:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle,Driver,Serious,Male,46
431317,433910,2,2015-09-01,20:55:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Male,22
426275,435799,2,2015-09-01,15:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Bus,Driver,Slight,Female,42
427867,437283,1,2015-09-02,16:31:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,58
423552,433923,2,2015-09-02,19:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,47
427062,431803,2,2015-09-02,18:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,20
423447,437675,2,2015-09-02,18:00:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Driver,Slight,Male,49
426265,433084,2,2015-09-02,08:32:00,B,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Male,27
431962,435043,1,2015-09-02,17:35:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,27
428539,431538,2,2015-09-02,11:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,37
428576,434242,2,2015-09-02,07:04:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,25
430184,433397,1,2015-09-02,18:13:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Pedestrian,Slight,Male,27
428568,427785,2,2015-09-03,12:23:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,26
430718,433603,2,2015-09-03,16:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,41
428568,427785,2,2015-09-03,12:23:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,1
422351,436905,2,2015-09-03,10:15:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,38
428568,427785,2,2015-09-03,12:23:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,35
431228,432845,2,2015-09-03,11:56:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,17
428568,427785,2,2015-09-03,12:23:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,8
434904,437073,1,2015-09-04,18:43:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,9
425498,436398,3,2015-09-04,16:54:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,60
426507,433928,2,2015-09-04,18:34:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,41
426432,433303,2,2015-09-04,19:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,28
426432,433303,2,2015-09-04,19:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,23
426432,433303,2,2015-09-04,19:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Serious,Male,16
421635,440843,2,2015-09-04,23:53:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,37
433502,434028,2,2015-09-04,15:56:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,22
423855,429475,2,2015-09-05,22:30:00,B,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Serious,Male,18
423855,429475,2,2015-09-05,22:30:00,B,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Serious,Male,20
423855,429475,2,2015-09-05,22:30:00,B,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,20
423855,429475,2,2015-09-05,22:30:00,B,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,18
432600,428270,2,2015-09-05,22:00:00,A,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Passenger,Serious,Male,18
427969,426432,2,2015-09-05,20:55:00,Motorway,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Serious,Male,34
432600,428270,2,2015-09-05,22:00:00,A,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Driver,Serious,Male,25
429701,434344,2,2015-09-05,17:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,39
424263,439001,2,2015-09-05,15:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Serious,Female,74
429002,433564,2,2015-09-05,15:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Male,44
431089,435718,2,2015-09-05,13:56:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,24
432600,428270,2,2015-09-05,22:00:00,A,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Passenger,Serious,Male,22
443613,435496,1,2015-09-05,07:00:00,A(M),Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,23
440006,432388,2,2015-09-06,18:06:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,21
440006,432388,2,2015-09-06,18:06:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,53
440006,432388,2,2015-09-06,18:06:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,23
429369,433782,2,2015-09-06,22:00:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,17
429369,433782,2,2015-09-06,22:00:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,21
440006,432388,2,2015-09-06,18:06:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,1
429369,433782,2,2015-09-06,22:00:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,33
429922,427806,2,2015-09-06,21:33:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,48
429369,433782,2,2015-09-06,22:00:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,24
429369,433782,2,2015-09-06,22:00:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,52
429775,438891,2,2015-09-06,07:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,27
429369,433782,2,2015-09-06,22:00:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,43
429613,433801,2,2015-09-07,20:25:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,50
429788,430628,3,2015-09-07,13:53:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,39
426191,437503,2,2015-09-07,06:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,34
440208,432953,1,2015-09-08,11:24:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,84
415382,443006,2,2015-09-08,14:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,21
415382,443006,2,2015-09-08,14:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Serious,Male,66
431483,435011,2,2015-09-08,08:55:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,24
430059,433940,3,2015-09-08,20:20:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,20
428056,434296,2,2015-09-09,10:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,31
444803,433399,1,2015-09-09,23:00:00,A(M),Dry,Darkness: No street lighting,Fine without high winds,Car,Passenger,Slight,Female,23
444803,433399,1,2015-09-09,23:00:00,A(M),Dry,Darkness: No street lighting,Fine without high winds,Car,Driver,Slight,Male,24
434959,436880,1,2015-09-09,14:54:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,20
425373,434324,3,2015-09-09,11:11:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,23
428435,428631,3,2015-09-09,08:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,22
419622,433581,1,2015-09-09,17:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,43
429915,433797,1,2015-09-10,17:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Serious,Female,83
430368,427966,1,2015-09-10,17:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Pedestrian,Slight,Male,54
430605,434567,2,2015-09-10,17:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,30
433840,427713,1,2015-09-10,18:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Serious,Male,18
432542,435640,1,2015-09-10,12:59:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,22
431339,435069,3,2015-09-10,01:25:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,32
430605,434567,2,2015-09-10,17:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,41
421665,433865,1,2015-09-11,23:30:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,39
445372,446876,1,2015-09-11,19:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Other,Passenger,Slight,Female,17
