Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
436093,445402,≥4,2014-01-09,12:45:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,37
425711,429632,3,2014-01-09,07:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,42
433258,429625,2,2014-01-09,08:20:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,32
433258,429625,2,2014-01-09,08:20:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,33
437228,433426,1,2014-01-09,08:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,16
429786,430628,2,2014-01-10,09:10:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,17
424660,427582,3,2014-01-10,08:17:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,35
431883,435575,2,2014-01-10,17:10:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,29
424660,427582,3,2014-01-10,08:17:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,25
432917,425961,2,2014-01-10,12:20:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,20
433299,436239,1,2014-01-11,21:30:00,A,Frost/Ice,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,45
433299,436239,1,2014-01-11,21:30:00,A,Frost/Ice,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,39
421804,439041,2,2014-01-11,11:05:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,32
425080,437515,2,2014-01-12,16:00:00,Unclassified,Dry,Daylight: Street lights present,Other,Car,Driver,Slight,Male,40
425080,437515,2,2014-01-12,16:00:00,Unclassified,Dry,Daylight: Street lights present,Other,Car,Passenger,Slight,Female,36
437499,433221,2,2014-01-12,14:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,31
440574,428697,2,2014-01-13,11:39:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,48
